idHabSINP;cleStation;nomCite;urlPreuve;cdHab;typeDeterm;determinateur;techniqueCollecte;recouvrement;abondanceHabitat;identifiantOrigine;precisionTechnique;releveEspeces;relevePhyto;sensibiliteHab
165a78cd-a9a4-483a-aaa0-4a6fe366abe0;1;Ancien verger à l'abandon & friche;;5687;;;0;;;;;;;0
02ff1ebd-b135-4c65-8b17-85d0f79307b9;2;Bassin;;1856;;;0;;;;;;;0
48a205e6-6d9d-4ce9-9e12-9c39997f3274;3;Begre de rivière;;5017;;;0;;;;;;;0
92ad2169-f620-4e51-843c-669eb31d2b1e;4;Berge à galets;;5019;;;0;;;;;;;0
d864f3d6-2c70-426d-ba8c-120d64c5dd29;5;Berges de galets;;5017;;;1;;;;;;;0
e1a8deef-db01-477d-b79e-c39a6924152e;6;Berges de galets;;5017;;;1;;;;;;;0
7eea2b8f-7a97-4e04-82d2-d519d35a04e4;7;Berges de galets;;5017;;;0;;;;;;;0
a1d65a2c-e5fc-4bb8-99b7-4f86ff1f5d7f;8;Berges de galets;;5017;;;1;;;;;;;0
4006b8b4-1f7d-45c9-ab25-fa44ebd992c7;9;Berges enrochées;;625;;;0;;;;;;;0
49ee7a39-abe7-42ed-8dbc-895acc8cbfa4;10;Berges enrochées;;625;;;0;;;;;;;0
471d7647-cd60-4d96-8f9a-7d370423b2da;11;Berges enrochées;;625;;;0;;;;;;;0
bb896d7c-e697-4c6c-bd36-519245168d81;12;Berges enrochées;;625;;;1;;;;;;;0
8cfc3076-94e9-4d43-88fa-10158953f3b0;13;Berges enrochées;;625;;;0;;;;;;;0
1a9ea2fc-be03-43c4-aaec-f6e053b52d8e;14;Berges enrochées;;625;;;1;;;;;;;0
2e86acb2-9976-44d4-9528-ac6cedc25c3b;15;Berges enrochées;;625;;;0;;;;;;;0
288b2a05-76d3-4287-aeab-4ad5c532bb41;16;Berges enrochées;;625;;;0;;;;;;;0
44af456e-e94b-4e6c-ab4e-f8d426a123e2;17;Berges enrochées;;625;;;0;;;;;;;0
bbbe51c4-463d-4e07-9f62-bc441c8944b4;18;Berges enrochées;;625;;;0;;;;;;;0
71b45642-4657-4b23-bdcb-a3b4dda235c1;19;Berges enrochées;;625;;;1;;;;;;;0
5332aff9-13be-4dc8-826e-23867d18aae5;20;Bois de Bouleaux;;11949;;;0;;;;;;;0
182d3182-5a32-4164-9ce8-5cddd25d7f24;21;Bois de Bouleaux;;11949;;;0;;;;;;;0
6a27c0ef-4213-4df8-a55e-1ddb01c8ba92;22;Bois de Bouleaux;;11949;;;1;;;;;;;0
b8596d0e-4064-49ae-aed3-6758281faef0;23;Bois de Bouleaux;;11949;;;1;;;;;;;0
f8d5c83c-ae50-43f4-8a88-f7662c3daeb8;24;Bois de Bouleaux;;11949;;;0;;;;;;;0
a34eac6a-1276-4b83-ad25-27853f513cec;25;Bois de Bouleaux;;11949;;;0;;;;;;;0
984678b5-f296-4422-bd94-0dd8e9e8a581;26;Bois de Bouleaux;;11949;;;0;;;;;;;0
;27;Bois de Bouleaux;;11949;;;1;;;;;;;0
;28;Bois de Bouleaux;;11949;;;0;;;;;;;0
;29;Bois de Bouleaux;;11949;;;0;;;;;;;0
;30;Bois de Bouleaux;;11949;;;1;;;;;;;0
;31;Bois de Bouleaux;;11949;;;1;;;;;;;0
;32;Bois de Bouleaux;;11949;;;0;;;;;;;2
;33;Bois de Bouleaux;;11949;;;1;;;;;;;2
;34;Bois de Bouleaux;;11949;;;0;;;;;;;2
;35;Bois de Bouleaux;;11949;;;0;;;;;;;2
;36;Bois de Bouleaux;;11949;;;0;;;;;;;2
;37;Bois de Bouleaux;;11949;;;0;;;;;;;2
;38;Bois de Bouleaux;;11949;;;0;;;;;;;2
;39;Bois de Bouleaux;;11949;;;1;;;;;;;2
;40;Bois de Bouleaux;;11949;;;0;;;;;;;2
;41;Bois de Bouleaux;;11949;;;1;;;;;;;2
;42;Bois de Bouleaux;;11949;;;0;;;;;;;2
;1;Ancien verger à l'abandon & friche;;5852;;;0;;;;;;;2
;43;Bois de Bouleaux;;11949;;;0;;;;;;;2
;44;Bois de Bouleaux;;11949;;;0;;;;;;;2
;45;Bois de Bouleaux;;11949;;;1;;;;;;;2
;46;Bois de Bouleaux;;11949;;;1;;;;;;;2
;47;Bois de Bouleaux;;11949;;;1;;;;;;;2
;48;Bois de Bouleaux;;11949;;;1;;;;;;;2
;49;Bois de Bouleaux;;11949;;;1;;;;;;;2
;50;Bois de Bouleaux;;11949;;;0;;;;;;;2
